cores,baseN,nref,degree,"solver name",error,dofs,dofs_core,runtime
1,4,2,2,LU,0.0001537515964442777,35937,35937,2.738382577896118
1,4,2,2,"CG + AMG",0.00015375113453729663,35937,35937,1.9489455223083496
1,4,2,2,"CG + GMG V-cycle",0.0001537515494972306,35937,35937,2.792949676513672
1,4,2,2,"CG + full GMG",0.0001537504311548364,35937,35937,1.661167860031128
1,4,2,2,"Matfree CG + telescoped full GMG",0.00015375043115479746,35937,35937,1.7118663787841797
1,5,2,2,LU,7.535098412798543E-05,68921,68921,6.241849660873413
1,5,2,2,"CG + AMG",7.535120865175023E-05,68921,68921,3.9517526626586914
1,5,2,2,"CG + GMG V-cycle",7.535262291721617E-05,68921,68921,5.2324724197387695
1,5,2,2,"CG + full GMG",7.535036097587784E-05,68921,68921,3.211487054824829
1,5,2,2,"Matfree CG + telescoped full GMG",7.535036097591547E-05,68921,68921,3.270805835723877
1,6,2,2,LU,4.242876312695988E-05,117649,117649,12.954328060150146
1,6,2,2,"CG + AMG",4.2428387944018246E-05,117649,117649,6.938692569732666
1,6,2,2,"CG + GMG V-cycle",4.2430208366292386E-05,117649,117649,8.891906261444092
1,6,2,2,"CG + full GMG",4.2431969153231145E-05,117649,117649,5.4185874462127686
1,6,2,2,"Matfree CG + telescoped full GMG",4.243196915308257E-05,117649,117649,5.418957233428955
1,8,2,2,LU,1.737806044128875E-05,274625,274625,45.59422445297241
1,8,2,2,"CG + AMG",1.737780793093659E-05,274625,274625,16.72342824935913
1,8,2,2,"CG + GMG V-cycle",1.737899844559554E-05,274625,274625,21.131711959838867
1,8,2,2,"CG + full GMG",1.737884576144303E-05,274625,274625,12.819249629974365
1,8,2,2,"Matfree CG + telescoped full GMG",1.7378845761317963E-05,274625,274625,12.739829778671265
1,10,2,2,LU,8.773326128840664E-06,531441,531441,141.50557374954224
1,10,2,2,"CG + AMG",8.773359310086098E-06,531441,531441,33.29150605201721
1,10,2,2,"CG + GMG V-cycle",8.773890718225779E-06,531441,531441,40.70423436164856
1,10,2,2,"CG + full GMG",8.771161571212211E-06,531441,531441,24.662103414535522
1,10,2,2,"Matfree CG + telescoped full GMG",8.771161571640308E-06,531441,531441,24.325695514678955
1,13,2,2,LU,3.954242336451551E-06,1157625,1157625,572.3697395324707
1,13,2,2,"CG + AMG",3.954124866102079E-06,1157625,1157625,81.4740355014801
1,13,2,2,"CG + GMG V-cycle",3.954501646337557E-06,1157625,1157625,89.97872161865234
1,13,2,2,"CG + full GMG",3.953631046768058E-06,1157625,1157625,54.03453207015991
1,13,2,2,"Matfree CG + telescoped full GMG",3.9536310469809504E-06,1157625,1157625,53.49049782752991
1,16,2,2,"CG + AMG",2.111845245382963E-06,2146689,2146689,155.0628273487091
1,16,2,2,"CG + GMG V-cycle",2.1117645893003736E-06,2146689,2146689,174.7867352962494
1,16,2,2,"CG + full GMG",2.1114013583912876E-06,2146689,2146689,175.80408692359924
1,16,2,2,"Matfree CG + telescoped full GMG",2.1114013580996054E-06,2146689,2146689,99.87029528617859
