cores,baseN,nref,degree,"solver name",error,dofs,dofs_core,runtime
1024,10,4,2,"CG + AMG",7.006039733693518E-08,33076161,32300.9384765625,6.9429771900177
1024,10,4,2,"CG + full GMG",7.294998719340994E-08,33076161,32300.9384765625,91.0144670009613
1024,10,4,2,"Matfree CG + telescoped full GMG",7.29499863062069E-08,33076161,32300.9384765625,4.873440265655518
512,10,4,2,"CG + AMG",7.167862874962302E-08,33076161,64601.876953125,9.542380571365356
512,10,4,2,"CG + full GMG",7.294844340183639E-08,33076161,64601.876953125,26.533028841018677
512,10,4,2,"Matfree CG + telescoped full GMG",7.294844232059729E-08,33076161,64601.876953125,8.394763946533203
256,10,4,2,"CG + AMG",7.239711804105716E-08,33076161,129203.75390625,16.21967315673828
256,10,4,2,"CG + full GMG",7.294910989872162E-08,33076161,129203.75390625,17.10242748260498
256,10,4,2,"Matfree CG + telescoped full GMG",7.294910871337458E-08,33076161,129203.75390625,13.28769850730896
128,10,4,2,"CG + AMG",6.978641205084129E-08,33076161,258407.5078125,29.280529499053955
128,10,4,2,"CG + full GMG",7.294959217797626E-08,33076161,258407.5078125,33.119654178619385
128,10,4,2,"Matfree CG + telescoped full GMG",7.294959083979216E-08,33076161,258407.5078125,23.156170129776
